180730 131114.661|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to D:\hoc thuat toan\Contest1\pc2Client\pc2Client\bin\logs directory.
180730 131114.662|INFO|AWT-EventQueue-0|info|
180730 131114.663|INFO|AWT-EventQueue-0|info|Version 9.5.3 20180207 (Wednesday, February 7th 2018 04:25 UTC) Java ver 1.8.0_144 build 4653 Windows 10 10.0 (amd64) 
180730 131114.664|INFO|AWT-EventQueue-0|info|Login: 38 (aka team38)
180730 131114.664|INFO|AWT-EventQueue-0|startLog|Working directory is D:\hoc thuat toan\Contest1\pc2Client\pc2Client\bin
180730 131114.666|INFO|AWT-EventQueue-0|startLog|Process id is 568@DESKTOP-EBV3QLN
180730 131114.667|INFO|AWT-EventQueue-0|info|Contacting server at 203.162.88.119:50002 as TEAM38 @ site 0
180730 131114.668|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM38 @ site 0
180730 131114.669|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #2 TEAM38 @ site 0 -> SERVER0 @ site 0
180730 131114.670|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #2 TEAM38 @ site 0 -> SERVER0 @ site 0
180730 131114.671|INFO|Thread-6|run|send(Serializable)
180730 131114.671|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
180730 131114.781|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
180730 131114.969|INFO|Thread-7|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #374 SERVER0 @ site 1 -> TEAM38 @ site 1
180730 131114.970|INFO|Thread-7|dumpPacket|Packet LOGIN_SUCCESS (Seq #374 ) recieveObject
180730 131114.970|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1 (WIN-GAG3RVQSL34 @ 10.99.3.97) (Contest Id: Default--5408402512921709741)
180730 131114.970|INFO|Thread-7|dumpPacket|    To: TEAM38 @ site 1
180730 131114.970|INFO|Thread-7|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@7cca23ef
180730 131114.970|INFO|Thread-7|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@720dd206
180730 131114.970|INFO|Thread-7|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
180730 131114.970|INFO|Thread-7|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@7632489f
180730 131114.970|INFO|Thread-7|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@3330d83d
180730 131114.971|INFO|Thread-7|dumpPacket|   key: GROUP_LIST is: [Ledu.csus.ecs.pc2.core.model.Group; [Ledu.csus.ecs.pc2.core.model.Group;@1ec840ef
